Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"is-generator-fn@2.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-circus@29.7.0"
"jest-each@29.7.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-circus@29.7.0"
"pure-rand@6.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-circus@29.7.0"
"normalize-path@3.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"anymatch@3.1.3"
"bser@2.1.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","Apache-2.0",No,"fb-watchman@2.0.2"
"makeerror@1.0.12","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-3-Clause",No,"walker@1.0.8"
"detect-newline@3.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-docblock@29.7.0"
"fake-timers@10.3.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-3-Clause",No,"fake-timers@29.7.0"
"plugin-syntax-async-generators@7.8.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"babel-preset-current-node-syntax@1.2.0"
"plugin-syntax-bigint@7.8.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"babel-preset-current-node-syntax@1.2.0"
"plugin-syntax-class-properties@7.12.13","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"babel-preset-current-node-syntax@1.2.0"
